density,risk_type,lambda,n_valid,astar_time_ms,ils_time_ms,speedup,astar_nodes,ils_nodes,node_reduction_pct,path_opt_ratio,exposure_ratio,mean_expansions,wilcoxon_p,rank_biserial,cohens_dz,node_red_ci_lo,node_red_ci_hi,holm_p,significant
0.2,hotspot,5.0,100,46.248361658799695,19.31796165081323,2.394060123670075,7978.24,3415.09,57.19494525108294,1.085136634588986,8.837429749323771,1.0,4.2596047247338695e-18,1.0,0.9203100768035859,0.41732252708099715,0.49952548790413304,2.1011768192063883e-16,True
0.2,uniform,0.0,100,14.18216712976573,14.99704171103076,0.9456643118712095,3021.45,2945.65,2.5087292525111993,1.0,1.0,1.0,6.186756168943819e-10,1.0,0.6325208982423385,0.01492187590723535,0.027362481372438557,3.7120537013662916e-09,True
0.2,uniform,0.1,100,28.626573749352247,22.522113729646662,1.2710429444137858,4986.16,3758.6,24.619346350698734,1.0,1.0,1.0,3.895021439772566e-18,1.0,3.5759414016745033,0.2327105138293563,0.251034055641206,2.1011768192063883e-16,True
0.2,uniform,0.5,100,56.32358408969594,22.963378349813865,2.452756873648449,10355.38,4261.72,58.845353816084,1.0,1.0,1.0,3.896120241954008e-18,1.0,12.057017556591251,0.5838638174036862,0.5910543354978695,2.1011768192063883e-16,True
0.2,uniform,1.0,100,78.45080004932242,22.385642940789694,3.5045140430777786,14820.8,4381.45,70.43715588902084,1.0,1.0,1.0,3.89546092538984e-18,1.0,21.914754966868042,0.7024356628585154,0.7057659818820378,2.1011768192063883e-16,True
0.2,uniform,2.0,100,106.81389285964542,22.267252950841794,4.7969048133352,20328.95,4447.53,78.12218535635141,1.0,1.0,1.0,3.895680685825538e-18,1.0,34.43357651093963,0.7801885275645823,0.7820341119288359,2.1011768192063883e-16,True
0.2,uniform,5.0,100,139.87633835931774,22.148019609740004,6.315523501604835,27085.55,4470.52,83.49481550125437,1.0,1.0,1.0,3.895021439772566e-18,1.0,59.521096334945334,0.8344265238125645,0.8354104125562822,2.1011768192063883e-16,True
0.3,gradient,0.0,100,19.54189074036549,14.085149599268334,1.387410946730776,4485.09,3191.52,28.84156170779182,1.000401699497789,1.0009726224335578,1.0,3.895900458013434e-18,1.0,2.728523420010139,0.26693142803657227,0.29316898420152016,2.1011768192063883e-16,True
0.3,gradient,0.1,100,47.589595050376374,20.65686495086993,2.3038149866188777,8421.62,3692.4,56.15570400944237,1.0004880114805912,1.0011726610089255,1.0,3.895900458013434e-18,1.0,8.322283117722694,0.5542377407518774,0.5650209671483426,2.1011768192063883e-16,True
0.3,gradient,0.5,100,111.12377621029736,21.35960750078084,5.202519578425542,18464.34,3881.07,78.98072717465125,1.0004953049850678,1.0009730325991821,1.0,3.896120241954008e-18,1.0,22.351454133176112,0.7881516792780489,0.7909837073610181,2.1011768192063883e-16,True
0.3,gradient,1.0,100,134.17423003003933,19.67001126962714,6.821258421809878,25129.23,3909.83,84.44110702954288,1.000312019738253,1.0005826401754871,1.0,3.8948017145896716e-18,1.0,47.51523284009923,0.8437537526423798,0.8449583973662398,2.1011768192063883e-16,True
0.3,gradient,2.0,100,150.77723330032313,20.335658761614468,7.414425815648019,28096.67,3910.07,86.08351096411069,1.0004171292653838,1.0007943925737484,1.0,3.8939229313504106e-18,1.0,288.6182537971391,0.8606005934380958,0.8610732166190177,2.1011768192063883e-16,True
0.3,gradient,5.0,100,140.52465374043095,18.817047549964627,7.467943808256737,28106.38,3914.8,86.07148981832596,1.0003321780479175,1.0004450298937806,1.0,3.892385512934326e-18,1.0,288.3133198547681,0.8604916371122262,0.86093703842343,2.1011768192063883e-16,True
0.3,hotspot,0.0,100,19.064602520811604,14.752747899619862,1.2922746765911215,4496.39,3174.88,29.39046657429627,1.000374256779889,1.0666519941062744,1.0,3.896340037647931e-18,1.0,2.621931311677593,0.2702418333542909,0.29794467634521876,2.1011768192063883e-16,True
0.3,hotspot,0.1,100,28.009278339450248,17.23099618946435,1.6255170642180357,5134.07,3313.14,35.46757251069814,1.000306145614221,1.1328049631548631,1.0,3.896120241954008e-18,1.0,2.9759027276757024,0.3311606134862043,0.3590702748017635,2.1011768192063883e-16,True
0.3,hotspot,0.5,100,31.28312622080557,18.043235799414106,1.7337869198506726,6134.52,3319.71,45.884763600086075,1.0038746325055588,1.7323497741572147,1.0,3.89655984509591e-18,1.0,1.8693499303511627,0.40947237894128585,0.45296921531476797,2.1011768192063883e-16,True
0.3,hotspot,1.0,100,38.26360795952496,17.82096006019856,2.147112603937828,6875.0,3266.43,52.48829090909091,1.0129661983712324,2.5559371432129177,1.0,3.896340037647931e-18,1.0,1.4843313026121272,0.45533594848787345,0.5060002952967175,2.1011768192063883e-16,True
0.3,hotspot,2.0,100,37.485631630406715,17.318660440068925,2.1644648418464825,6993.46,3241.62,53.64783669313902,1.029137690392271,3.324187711990609,1.0,3.89655984509591e-18,1.0,1.3023903617960053,0.45070223560058525,0.5083091986403387,2.1011768192063883e-16,True
0.3,hotspot,5.0,100,39.51651295981719,15.570313709613401,2.537939420926308,7857.88,3155.97,59.83687712207364,1.1170303761900713,10.573176962408994,1.0,3.89655984509591e-18,1.0,1.4288568330817317,0.5118545986237938,0.5714380232369892,2.1011768192063883e-16,True
0.3,uniform,0.0,100,20.59479040966835,14.448277900373796,1.4254148869281877,4522.53,3215.43,28.901964166075178,1.000284173541337,1.0005735026543785,1.0,3.89546092538984e-18,1.0,2.9185330683298365,0.2680996397980346,0.2935471401188771,2.1011768192063883e-16,True
