density,risk_type,lambda,alpha,n_valid,n_failed,speedup_mean,speedup_std,node_red_mean,node_red_std,opt_ratio_mean,opt_ratio_std
0.2,gradient,0.5,0.2,30,0,1.2150849543972946,0.11154924985568122,22.150849978549477,1.0274515961153017,1.0,0.0
0.2,gradient,0.5,0.25,30,0,1.0664215345274992,0.04199284548231032,10.201020188749316,0.9098065476058101,1.0,0.0
0.2,gradient,0.5,0.3,30,0,0.9345187062770614,0.08058060379958186,2.2635152946306714,0.6023803605686412,1.0,0.0
0.2,gradient,1.0,0.01,30,0,26.730115771867556,12.605818425208653,95.38548747468153,1.9299543737460827,1.005507030803005,0.006608636862295626
0.2,gradient,1.0,0.02,30,0,21.64276937808018,1.993953864466935,94.78376762147163,0.10732703863475505,1.0022637278247735,0.0030283296182012647
0.2,gradient,1.0,0.03,30,0,11.026713817670135,0.6514465342309418,90.25884226860416,0.18142367394021242,1.0000869114359257,0.0004748462041896586
0.2,gradient,1.0,0.05,30,0,6.510430912561178,0.30026510069473455,83.6196680965948,0.2978418481649942,1.0,0.0
0.2,gradient,1.0,0.07,30,0,5.081505728207552,0.28748646837162545,79.30959649197841,0.36821156651171705,1.0,0.0
0.2,gradient,1.0,0.1,30,0,3.1717219321619643,0.4892372775748217,68.94753940821367,0.5188652284121542,1.0,0.0
0.2,gradient,1.0,0.15,30,0,2.1592653445423093,0.19624626092946004,55.42247246300442,0.707940217475557,1.0,0.0
0.2,gradient,1.0,0.2,30,0,1.7120582624417142,0.08343545048920659,43.080589019216255,0.8198617485225387,1.0,0.0
0.2,gradient,1.0,0.25,30,0,1.4088078738700907,0.12888366468056262,31.976601711599997,0.8813965756930742,1.0,0.0
0.2,gradient,1.0,0.3,30,0,1.2563454393231956,0.05766380042000838,22.278539949731933,0.8512083607790754,1.0,0.0
0.2,hotspot,0.5,0.01,30,0,5.865975749569793,3.8519020729527567,72.07941802836694,18.89926187458289,1.0110223432702101,0.009051473055010112
0.2,hotspot,0.5,0.02,30,0,4.404630391583681,1.7173872465122821,71.15508797805586,11.12262850690089,1.0079168257856443,0.0073642645197994116
0.2,hotspot,0.5,0.03,30,0,2.370272573143324,0.8399831339699396,51.90490844874956,14.042386934929834,1.0037858136965263,0.006094482378600209
0.2,hotspot,0.5,0.05,30,0,1.5070865330571406,0.4545008360643002,28.86803774737268,17.464114690419752,1.0010475059997672,0.002375515533605159
0.2,hotspot,0.5,0.07,30,0,1.2839199087387902,0.3233996312401705,18.3810600190921,15.580980049920859,1.0002834363050779,0.000771573046207964
0.2,hotspot,0.5,0.1,30,0,1.0276428737720202,0.1381993335044594,4.466907321963048,8.661805087337667,1.0000054834339795,3.0034004831437914e-05
0.2,hotspot,0.5,0.15,30,0,0.9455844366889784,0.06450337556538611,0.41041611284405644,1.455091363226226,1.0,0.0
0.2,hotspot,0.5,0.2,30,0,0.9082586975093381,0.09291760904087869,0.0,0.0,1.0,0.0
0.2,hotspot,0.5,0.25,30,0,0.9236074220454367,0.07561388381257657,0.0,0.0,1.0,0.0
0.2,hotspot,0.5,0.3,30,0,0.9426729284298807,0.03502902265153519,0.0,0.0,1.0,0.0
0.2,hotspot,1.0,0.01,30,0,6.547866714667503,3.337758178095047,79.18112431827652,8.387524339697334,1.0235159669960052,0.015420291385143095
0.2,hotspot,1.0,0.02,30,0,4.8448831022643635,1.6123683103368516,74.77382977756074,8.819064756641364,1.0183475910532673,0.013731652549001097
0.2,hotspot,1.0,0.03,30,0,2.6398254386261852,0.9570003207554195,56.723597552435734,14.673944736786732,1.0107697015590693,0.010431417994036029
0.2,hotspot,1.0,0.05,30,0,1.476543270694193,0.5601654438559774,35.89241251242553,18.855699122692865,1.0050804858639089,0.007388345531953919
0.2,hotspot,1.0,0.07,30,0,1.4908897689571512,0.4111251582404266,26.19934485778323,17.998614770230738,1.0025207199874098,0.005321031376156539
0.2,hotspot,1.0,0.1,30,0,1.1242201854175078,0.2757626331434152,10.288066099245894,10.921867516846072,1.000124279152574,0.0005515355619443725
0.2,hotspot,1.0,0.15,30,0,1.0396301882395498,0.1490831604266622,0.5988082046051727,1.4368210952091371,1.0,0.0
0.2,hotspot,1.0,0.2,30,0,1.053901341510919,0.15044616506922226,0.0,0.0,1.0,0.0
0.2,hotspot,1.0,0.25,30,0,1.0532901373588026,0.15110667974921208,0.0,0.0,1.0,0.0
0.2,hotspot,1.0,0.3,30,0,1.0566689684782462,0.15966430594833578,0.0,0.0,1.0,0.0
0.3,gradient,0.5,0.01,30,0,12.836514529512998,4.999860818472007,90.3120017073683,3.884499721357751,1.0101687539184214,0.009229075740576768
0.3,gradient,0.5,0.02,30,0,14.002283239206132,4.574913300328001,91.13595443251522,3.4554732215538375,1.0094188967910382,0.008245933114473232
