size,density,corridor_width,n_valid,plan_time_ms,node_red_pct,opt_ratio,waypoints_after,compression_pct,mean_heading_deg,pipeline_speedup
80,0.25,0.15,100,3253.229,0.0,1.0,28.94,67.46,13.94,0.9158
80,0.3,0.03,100,2008.75,34.271,1.006526,38.32,58.61,18.23,1.7409
80,0.3,0.05,100,1707.292,34.846,1.005881,37.73,59.15,17.89,1.7098
80,0.3,0.07,100,2211.542,27.258,1.002377,37.21,59.5,17.67,1.4093
80,0.3,0.1,100,3396.5835,6.003,1.000048,36.37,60.29,17.31,1.0005
80,0.3,0.15,100,3673.458,0.027,1.0,35.73,61.05,16.96,0.9113
90,0.1,0.03,100,1403.6455,27.462,1.000731,16.35,82.61,7.01,1.5446
90,0.1,0.05,100,2520.7085,0.0,1.0,16.0,82.96,6.85,0.9111
90,0.1,0.07,100,2386.333,0.0,1.0,15.63,83.35,6.68,0.9147
90,0.1,0.1,100,2536.854,0.0,1.0,15.67,83.3,6.7,0.9049
90,0.1,0.15,100,2517.146,0.0,1.0,16.0,82.96,6.85,0.9037
90,0.15,0.03,100,1372.3335,40.191,1.002417,22.81,76.26,9.98,1.9372
90,0.15,0.05,100,2997.271,2.159,1.000045,21.17,77.86,9.21,1.0163
90,0.15,0.07,100,2967.563,0.0,1.0,21.25,77.74,9.27,0.9133
90,0.15,0.1,100,3112.6665,0.0,1.0,21.75,77.25,9.49,0.9155
90,0.15,0.15,100,2874.1255,0.0,1.0,21.28,77.72,9.27,0.9066
90,0.2,0.03,100,1319.5,43.958,1.003503,29.84,69.65,13.02,2.1528
90,0.2,0.05,100,3084.2915,10.64,1.000359,27.94,71.38,12.21,1.0844
90,0.2,0.07,100,3538.271,1.363,1.000044,28.05,71.26,12.26,0.9439
90,0.2,0.1,100,3578.7505,0.0,1.0,27.23,72.07,11.89,0.909
90,0.2,0.15,100,3707.2085,0.0,1.0,27.65,71.69,12.06,0.9069
90,0.25,0.03,100,2028.0415,42.145,1.005442,35.82,64.47,15.51,2.192
90,0.25,0.05,100,2891.042,22.634,1.000843,34.52,65.55,14.9,1.2626
90,0.25,0.07,100,3464.292,8.25,1.000089,33.71,66.21,14.59,1.0384
90,0.25,0.1,100,4070.521,0.173,1.0,33.4,66.65,14.4,0.9182
90,0.25,0.15,100,4063.3755,0.0,1.0,34.41,65.59,14.88,0.9022
90,0.3,0.03,100,2220.9165,38.461,1.005836,43.0,58.58,18.27,1.8565
90,0.3,0.05,100,2715.2285,29.796,1.003064,40.32,60.83,17.17,1.467
90,0.3,0.07,100,3322.8125,19.803,1.000704,39.49,61.56,16.79,1.2038
90,0.3,0.1,100,4147.333,2.808,1.000087,39.95,61.07,17.0,0.953
90,0.3,0.15,100,4310.4375,0.0,1.0,38.08,62.84,16.2,0.9252
100,0.1,0.03,100,2574.25,4.173,1.000082,16.77,83.91,6.5,1.0097
100,0.1,0.05,100,2742.75,0.0,1.0,16.4,84.24,6.35,0.9098
100,0.1,0.07,100,2573.0415,0.0,1.0,16.44,84.19,6.37,0.8985
100,0.1,0.1,100,2602.896,0.0,1.0,17.14,83.55,6.67,0.9011
100,0.1,0.15,100,2816.771,0.0,1.0,17.05,83.64,6.63,0.8984
100,0.15,0.03,100,2404.9585,18.517,1.000645,23.89,77.51,9.46,1.2423
100,0.15,0.05,100,3176.896,2.516,1.000041,23.51,77.83,9.3,0.9656
100,0.15,0.07,100,3464.146,0.081,1.0,24.5,76.95,9.71,0.9139
100,0.15,0.1,100,3476.0,0.0,1.0,23.38,77.98,9.23,0.9113
100,0.15,0.15,100,3369.9995,0.0,1.0,22.4,78.84,8.84,0.9173
100,0.2,0.03,100,2318.5,32.581,1.001554,30.96,71.5,12.23,1.5287
100,0.2,0.05,100,3276.458,13.784,1.000201,30.61,71.78,12.1,1.1252
100,0.2,0.07,100,3672.667,1.983,1.0,29.34,72.86,11.59,0.9539
100,0.2,0.1,100,3932.062,0.0,1.0,29.71,72.56,11.73,0.9106
100,0.2,0.15,100,4059.2285,0.0,1.0,29.6,72.68,11.68,0.9113
100,0.25,0.03,100,2158.6875,42.455,1.003409,38.36,65.64,14.99,1.8422
100,0.25,0.05,100,3073.3955,26.328,1.000535,36.91,66.74,14.42,1.328
100,0.25,0.07,100,3808.3545,11.953,1.000199,36.26,67.29,14.16,1.0909
100,0.25,0.1,100,4699.9375,0.039,1.0,36.81,66.85,14.37,0.9152
100,0.25,0.15,100,4204.7085,0.0,1.0,35.72,67.72,13.97,0.9172
100,0.3,0.03,100,2047.083,47.446,1.005923,46.7,59.44,17.95,2.096
100,0.3,0.05,100,2970.1665,34.549,1.002156,43.64,61.76,16.79,1.5119
100,0.3,0.07,100,3623.5625,23.739,1.000719,42.99,62.28,16.5,1.2673
100,0.3,0.1,100,4866.417,1.239,1.0,43.24,62.09,16.59,0.9321
100,0.3,0.15,100,5040.3335,0.005,1.0,43.95,61.54,16.85,0.9163
