density,risk_type,lambda,n_valid,astar_time_mean,astar_time_std,astar_nodes_mean,astar_nodes_std,astar_opt_mean,astar_opt_std,astar_exposure_mean,astar_exposure_std,astar_speedup,astar_node_red,ils_time_mean,ils_time_std,ils_nodes_mean,ils_nodes_std,ils_opt_mean,ils_opt_std,ils_exposure_mean,ils_exposure_std,ils_speedup,ils_node_red,rils_time_mean,rils_time_std,rils_nodes_mean,rils_nodes_std,rils_opt_mean,rils_opt_std,rils_exposure_mean,rils_exposure_std,rils_speedup,rils_node_red,ails_time_mean,ails_time_std,ails_nodes_mean,ails_nodes_std,ails_opt_mean,ails_opt_std,ails_exposure_mean,ails_exposure_std,ails_speedup,ails_node_red
0.2,gradient,1.0,50,149.18332332192222,6.68724114804277,27307.72,438.81766191456245,1.0,0.0,1.0,0.0,1.0,0.0,23.051642540085595,1.118266788492358,4466.28,31.990457760949624,1.0,0.0,1.0,0.0,6.471700359855062,83.64462503643658,80.94458249921445,2.4159411397322743,14909.92,83.9844106039317,1.0,0.0,1.0,0.0,1.8430303636857972,45.40034832640734,19.178442501288373,7.448306996965111,3477.84,99.21083713023307,1.0006160206309012,0.0013618011427365055,1.001253398710859,0.0022852795894283376,7.7786985732496445,87.26426080243975
0.2,gradient,2.0,50,169.63193324016174,7.1327853949039195,32060.1,81.57311732052267,1.0,0.0,1.0,0.0,1.0,0.0,22.568890000111423,1.595952478608059,4481.34,28.62181984830055,1.0000253249076838,0.0001790741395612982,1.000059385728867,0.00041992051587582367,7.516184147263081,86.0220648095296,78.14867331995629,2.7390108295057125,14999.6,55.55030814220456,1.0,0.0,1.0,0.0,2.1706310041330417,53.214119731379505,17.791115019063,0.6892370183085101,3477.58,97.68526929243065,1.0006758278832026,0.001389796266370912,1.0010770142187104,0.00220364154404982,9.534643166457125,89.15293464462057
0.2,hotspot,0.5,50,25.95429328008322,10.36910306345155,4719.38,1531.1399633433055,1.0,0.0,1.0,0.0,1.0,0.0,18.5140241793124,2.286618419914204,3368.96,384.799229919888,1.000712162168057,0.002612990095196308,1.199415252691609,0.667825905254896,1.4018720635076511,28.61435188520526,26.212197600107174,7.404935532054822,4632.42,1357.5793747606472,1.000052669488553,0.0003724295251755004,1.0054365232234423,0.03844202437374177,0.9901609043255916,1.8426149197564134,15.262747499509715,1.3257626431188072,2746.88,251.2537249190831,1.0030020972971265,0.00440445960547851,1.5679123978007967,0.8817329488836274,1.7004994206263944,41.79574435625019
0.2,hotspot,1.0,50,28.559279060864355,11.72538724950439,5422.38,2202.686216177596,1.0,0.0,1.0,0.0,1.0,0.0,18.028613238129765,2.5166814721102235,3289.28,356.5676533682934,1.010113967356926,0.020036194286886532,2.2923934900550056,2.07133277418731,1.5841084770992075,39.33881432138655,29.103764940518886,12.76482372699174,4992.9,1584.1176678878012,1.0005580480113143,0.00272661676765803,1.0377281097463804,0.1727677890331538,0.9812915655150689,7.920507231142048,14.914549099921715,1.2931197124470346,2693.42,230.2816456570749,1.0157463237399924,0.02433600175304629,2.904449691808038,2.6183548374313417,1.9148603735539187,50.32771587384137
0.2,hotspot,2.0,50,35.41752412042115,22.585447221896363,6612.98,4201.453249502499,1.0,0.0,1.0,0.0,1.0,0.0,17.769468380138278,2.655878235724664,3248.86,441.2947097080663,1.0219593247845526,0.0361312761780447,3.7217583418810225,4.617859400066995,1.9931673454006584,50.87146793125035,30.02339914062759,9.597673123427205,5365.64,1851.6458399852531,1.0025022031949602,0.007093666809900314,1.3652737046457435,1.0615879010730909,1.179664033193838,18.861995650977313,14.879624120076187,1.4622968609730433,2702.94,289.0701073075103,1.0374418820879825,0.0448728382158704,4.994900798815709,5.454877359593357,2.380270081731057,59.12674769922184
0.2,uniform,0.5,50,51.83186162030324,3.4728693287858006,10418.68,486.5117587772894,1.0,0.0,1.0,0.0,1.0,0.0,21.116718378907535,0.7285750887856189,4267.58,86.81979695240679,1.0,0.0,1.0,0.0,2.4545415007322147,59.03914891329804,51.85186676069861,2.4507424465910215,9931.62,355.1352079396907,1.0,0.0,1.0,0.0,0.9996141866890214,4.674872440654665,16.6909783805022,0.6769173901557225,3318.54,102.23686183743781,1.000500873424872,0.0011522246713187745,1.0010168631314535,0.002336438262246716,3.1053818678988496,68.14817232125374
0.2,uniform,1.0,50,74.89167502062628,3.1210182082377185,14883.04,483.17440802615835,1.0,0.0,1.0,0.0,1.0,0.0,21.522554219409358,0.5980778772646204,4387.68,41.30397025933068,1.0,0.0,1.0,0.0,3.479683417551243,70.51892624087553,60.15023999992991,2.535247725717942,11480.96,192.68563379086606,1.0,0.0,1.0,0.0,1.2450769110931819,22.858770788763593,17.42567835812224,3.6767132544265926,3402.7,97.39258866325821,1.0004066887144836,0.0011677430634588776,1.000931560999637,0.0024882310177946746,4.2977767339380915,77.13706339565036
0.2,uniform,2.0,50,102.5917734199902,8.569805670351421,20413.24,429.53784181492136,1.0,0.0,1.0,0.0,1.0,0.0,21.08097001881106,0.6209911205395441,4455.32,35.33365164790515,1.0,0.0,1.0,0.0,4.8665584803946444,78.1743613458716,62.26073829893721,2.652759819919286,12338.82,127.67971567918832,1.0,0.0,1.0,0.0,1.6477763711604017,39.55481834338891,17.342962479160633,4.067379412355735,3451.96,88.47020944466941,1.0003937498645863,0.0012708007766455288,1.0006439007815155,0.002077648438559813,5.915469951760828,83.08960263044965
0.3,gradient,0.5,50,87.55207176000113,3.4211034495096477,18251.32,607.7509707511618,1.0,0.0,1.0,0.0,1.0,0.0,18.244876659591682,0.6160978546107233,3872.18,43.32397648849318,1.0004155028410893,0.0014851542147736113,1.0006500969917818,0.002333271428969022,4.798720944708241,78.78410986164288,60.39440325956093,2.281405180468044,12247.82,251.55895077354276,1.0,0.0,1.0,0.0,1.4496719403571707,32.89351126384283,19.047960080497433,0.896091233022994,3938.28,96.85841549943518,1.0008040256606459,0.0019227081081411071,1.0014971346477695,0.0036812378034662726,4.596401472388782,78.42194427581128
0.3,gradient,1.0,50,120.55752582004061,17.731014156921056,25229.78,415.6115381125082,1.0,0.0,1.0,0.0,1.0,0.0,17.89854923961684,0.38257464977198474,3913.16,33.86670148372521,1.0006551924843705,0.0018349067055003728,1.0012973560878482,0.003804092704838121,6.735603215996819,84.48991628147373,62.53067327954341,2.70099261616419,13129.78,64.10810066932706,1.0,0.0,1.0,0.0,1.9279742164471527,47.95919742463073,18.62954910087865,0.6196372725746933,3969.9,72.76752190983254,1.0011198596520188,0.002196057552229092,1.0020502211586366,0.004230253751178581,6.471306694929863,84.26502331768252
0.3,gradient,2.0,50,139.5343141196645,19.16016390600106,28083.3,94.35154628152252,1.0,0.0,1.0,0.0,1.0,0.0,18.49946919915965,1.0764566105756639,3912.66,32.77169634963459,1.0005351251963048,0.001809186878373153,1.0010307719292992,0.003322110351939172,7.542611769963807,86.06766298832402,63.91579169983743,4.299982407480253,13119.9,53.25956846101047,1.0,0.0,1.0,0.0,2.1830960770219074,53.282199741483375,21.33543584117433,14.708183472053097,3992.94,85.40692750184918,1.0012725062120011,0.002359956154571732,1.0020453824956217,0.004069955724027161,6.540026421695275,85.78179914753608
0.3,hotspot,0.5,50,31.92972834163811,8.10850898689742,6608.16,1627.434482332765,1.0,0.0,1.0,0.0,1.0,0.0,17.1782184188487,3.5752280287084672,3366.72,224.32311244165234,1.0027633319829639,0.004665091993129842,1.6622528711085238,1.1866877763089645,1.8587334008166645,49.05208106341251,32.05421257822309,13.615128735345088,5874.22,994.9244518544909,1.0001460979569203,0.0006737300172227716,1.1216126188415907,0.670430319474232,0.9961164469012866,11.106571269460785,17.086195820302237,1.4334740732445395,3360.28,270.31282256085507,1.0035295136950695,0.0046593613005140285,2.152998835157207,3.1595641283112093,1.868744141612753,49.14953633083944
0.3,hotspot,1.0,50,33.802908279467374,12.785055058882024,6877.36,2462.38381066405,1.0,0.0,1.0,0.0,1.0,0.0,16.402581579750404,1.5628130417127661,3278.68,263.3808013705863,1.011414004594063,0.01988710280133019,2.389717053877233,2.108993748633102,2.060828541843579,52.32647411215932,30.966661720885895,9.647491855991762,5660.14,1235.8854878926581,1.0004118347549413,0.0012100967751624576,1.0774966779924804,0.31375930340814484,1.0915903233014146,17.69894261751601,17.726829899766017,4.78666233527461,3309.74,255.6313361072934,1.01349701709206,0.020346623429497647,2.5136230260728287,2.20076642541992,1.9068783573036683,51.874847325136386
